[0, 0, 0, 0, 0, 0, ],
[0, 0, 0, 0, 0, 0, ],
[0, 0, 0, 0.4, 0, 0, ],
[0, 0, 0, 0, 0, 0.2, ],
[0, 0, 0, 0, 0, 0, ],
[0, 0, 0, 0, 0.2, 0.2, ],
[0, 0, 0, 0.2, 0, 0, ],
[0, 0, 0.2, 0.2, 0.2, 0, ],
[0, 0, 0, 0.2, 0.2, 0, ],
[0, 0, 0, 0.4, 0.4, 0, ],
[0.2, 0, 0, 0.2, 0.4, 0, ],
[0, 0, 0, 0.8, 0.2, 0, ],
[0, 0, 0.2, 0.4, 0.6, 0, ],
[0, 0, 0.2, 0.4, 0.4, 0.6, ],
[0, 0, 0, 0.6, 0.8, 0.2, ],
[0, 0, 0.2, 0.6, 0.8, 0.2, ],
[0, 0.2, 0.2, 0.6, 1, 0.2, ],
[0, 0, 0.4, 0.6, 1.2, 0.2, ],
[0, 0.6, 0, 1.6, 0.8, 0.2, ],
[0, 0, 0.2, 1.2, 1.8, 0, ],
[0.6, 0.2, 0.4, 1.2, 2, 0.2, ],
[0.2, 0.6, 0.4, 1, 2, 0.4, ],
[0.2, 0, 1, 1.6, 2.8, 0.2, ],
[0, 0.2, 0.6, 2.8, 3.6, 0.2, ],
[0, 0.4, 0.8, 1.8, 3, 0.4, ],
[0.2, 0.2, 0.8, 2, 3.4, 0.2, ],
[0, 0.2, 0.8, 2.4, 3.4, 0.2, ],
[0, 0, 1, 2.4, 3.8, 0.2, ],
[0.4, 0, 1.2, 2.4, 4, 0.6, ],
[0, 0.8, 1, 3, 4.4, 0, ],
[0.6, 0.6, 1, 2.8, 5.6, 0, ],
[0, 0.8, 1.4, 3.2, 5.8, 0.4, ],
[0.4, 0.6, 1.2, 3.4, 6.8, 0.4, ],
[0.4, 0.4, 1.8, 4, 6.4, 0.4, ],
[0.6, 1, 2.2, 6.2, 8.2, 0.6, ],
[0.2, 0.8, 1.8, 4.4, 7.8, 0.8, ],
[0.2, 0.8, 1.6, 4.8, 8.8, 0.4, ],
[0.4, 1, 1.6, 5.2, 8.6, 0.8, ],
[0.4, 0.8, 1.8, 6, 9.4, 0.6, ],
[0.4, 0.8, 3.6, 8, 13.4, 0.6, ],
[0.4, 1, 2.8, 7, 11, 0.8, ],
[0.4, 1, 3.2, 8.2, 11, 1.2, ],
[0.6, 1, 3.6, 7.2, 12, 1, ],
[1, 1.2, 3.6, 8.6, 13.4, 0.6, ],
[0.8, 1, 3.6, 8.8, 13.8, 0.6, ],
[1, 1.2, 3.4, 9, 15.2, 0.8, ],
[0.8, 2, 4, 9.2, 15.8, 1.2, ],
[0.6, 1.2, 4.2, 10.2, 17.2, 1, ],
[0.4, 1.8, 4.6, 10.8, 18.4, 0.8, ],
[0, 2.2, 4, 11.6, 19.4, 1.4, ],
[1, 2, 5.8, 13, 22, 1.4, ],
[0.6, 2, 5, 12, 21.6, 1, ],
[0.6, 1.8, 5.2, 13.2, 23.2, 0.6, ],
[1.2, 2, 5.2, 13.6, 23.8, 1, ],
[1, 2.6, 6.4, 14.6, 25, 0.8, ],
[1, 2, 5.8, 15.6, 26.2, 1.2, ],
[1.2, 1.8, 6.8, 16.6, 28, 1, ],
[1, 2.6, 8.2, 17, 28.8, 1.6, ],
[1, 3, 8.4, 17.6, 30.4, 1.8, ],
[0.6, 2.6, 7.4, 18, 33, 1, ],
[1.4, 2.8, 8.8, 19.4, 34.2, 1.4, ],
[1, 3.4, 8.6, 20.4, 35.6, 1.2, ],
[1.2, 2.6, 8.6, 23.2, 38.4, 1, ],
[1, 2.4, 7.8, 19.4, 33.2, 1, ],
[1, 2.4, 8.4, 17.2, 30.6, 0.8, ],
[1.4, 3.2, 9.4, 18.4, 31.8, 1.2, ],
[1, 3.4, 8.2, 19.2, 33.2, 1.2, ],
[1, 2.8, 9.2, 20, 34.8, 1.2, ],
[1, 2.6, 7.8, 21.8, 38, 1, ],
[1.2, 2.6, 9.6, 23.2, 38.4, 1.4, ],
